"   ","LEG_NO","MASTER_FLIGHT_NO","ACTUAL_DEPARTURE_DT","ACTUAL_ARRIVAL_DT","AC_REG_CD","ASSMBL_CD","LOC_CD","LOC_CD"
"118","QFA0444","QFA0444","23/04/2019 5:28:00 AM","23/04/2019 6:47:00 AM","VH-VZO","N37","SYD","MEL"
"119","QFA0809","QFA0809","23/04/2019 10:10:00 PM","23/04/2019 11:09:00 PM","VH-VZQ","N37","MEL","CBR"
"120","QFA0804","QFA0804","23/04/2019 8:26:00 PM","23/04/2019 9:20:00 PM","VH-VZQ","N37","CBR","MEL"
"121","QFA0765","QFA0765","23/04/2019 6:23:00 AM","23/04/2019 8:22:00 AM","VH-VZQ","N37","ADL","SYD"
"122","QFA0741","QFA0741","23/04/2019 12:50:00 AM","23/04/2019 2:36:00 AM","VH-VZQ","N37","ADL","SYD"
"123","QFA0736","QFA0736","23/04/2019 3:23:00 AM","23/04/2019 5:09:00 AM","VH-VZQ","N37","SYD","ADL"
"124","QFA0696","QFA0696","23/04/2019 9:37:00 AM","23/04/2019 10:43:00 AM","VH-VZQ","N37","MEL","ADL"
"125","QFA0927","QFA0927","23/04/2019 6:56:00 AM","23/04/2019 9:26:00 AM","VH-VXG","N37","SYD","CNS"
"126","QFA0926","QFA0926","23/04/2019 3:05:00 AM","23/04/2019 6:12:00 AM","VH-VXG","N37","CNS","SYD"
"128","QFA0500","QFA0500","23/04/2019 7:58:00 PM","23/04/2019 9:31:00 PM","VH-VXG","N37","BNE","SYD"
"129","QFA0424","QFA0424","23/04/2019 12:49:00 AM","23/04/2019 2:02:00 AM","VH-VXG","N37","SYD","MEL"
"130","QFA0840","QFA0840","23/04/2019 11:29:00 PM","24/04/2019 3:46:00 AM","VH-VXU","N37","DRW","SYD"
"131","QFA0791","QFA0791","23/04/2019 3:30:00 AM","23/04/2019 6:21:00 AM","VH-VXU","N37","SYD","ASP"
"132","QFA0637","QFA0637","23/04/2019 9:23:00 AM","23/04/2019 11:28:00 AM","VH-VXU","N37","MEL","BNE"
"133","QFA0540","QFA0540","23/04/2019 7:02:00 AM","23/04/2019 8:41:00 AM","VH-VXU","N37","BNE","SYD"
"134","QFA0404","QFA0404","23/04/2019 8:24:00 PM","23/04/2019 9:38:00 PM","VH-VXU","N37","SYD","MEL"
"135","QFA0797","QFA0797","23/04/2019 3:01:00 AM","23/04/2019 5:36:00 AM","VH-VZT","N37","MEL","ASP"
"136","QFA0739","QFA0739","23/04/2019 10:27:00 PM","24/04/2019 12:20:00 AM","VH-VZT","N37","ADL","SYD"
"137","QFA0628","QFA0628","23/04/2019 7:06:00 AM","23/04/2019 9:17:00 AM","VH-VZT","N37","BNE","MEL"
